Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
St-Bernardus St. Bernardus Christmas Ale,,,Belgian-Style Dark Strong Ale,Belgium - West-Vlaanderen,Belgium ,11/22/08
Nøgne Ø Peculiar Yule,,,Herb and Spice Beer,Norway,Norway,11/22/08
Mikkeller Til: Fra: / To: From:,,,Herb and Spice Beer,Denmark,Denmark,11/22/08
Mikkeller Black Hole,,,Imperial Stout,Denmark,Denmark,11/22/08
Flying Dog In-Heat Wheat,,,South German-Style Hefeweizen/Hefeweissbier,United States - Maryland,United States ,11/17/08
Flying Dog Woody Creek White,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Maryland,United States ,11/14/08
Flying Dog Snake Dog IPA,,,American-Style IPA,United States - Maryland,United States ,11/14/08
Kona Longboard Island Lager,,,Dortmunder/Export or German-Style Oktoberfest,United States - Hawaii,United States ,11/13/08
Grand Teton Au Naturale Original Blonde Ale,,,Golden or Blonde Ale,United States - Idaho,United States ,11/13/08
Samuel Smith Winter Welcome 2008-2009,,,Barley Wine-Style Ale,United Kingdom - North Yorkshire,United Kingdom ,11/12/08
Southampton Double White Ale,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - New York,United States ,11/12/08
Southampton Altbier,,,German-Style Brown Ale/Düsseldorf-Style Altbier,United States - New York,United States ,11/12/08
Het Anker Gouden Carolus Noël / Gouden Carolus Christmas,,,Belgian-Style Dark Strong Ale,Belgium - Antwerpen,Belgium ,11/7/08
Capital Baltic Porter,,,Baltic-Style Porter,United States - Wisconsin,United States ,11/7/08
Capital Munich Dark,,,European-Style Dark/Münchner Dunkel,United States - Wisconsin,United States ,11/7/08
Furthermore Knot Stock,,,Herb and Spice Beer,United States - Wisconsin,United States ,11/7/08
Furthermore Proper,,,Classic English-Style Pale Ale,United States - Wisconsin,United States ,11/7/08
Tyranena Devil Over A Barrel,,,Wood- and Barrel-aged Dark Beer,United States - Wisconsin,United States ,11/6/08
BluCreek Zen IPA,,,American-Style IPA,United States - Wisconsin,United States ,11/5/08
New Glarus Tail Wagger 2005,,,Barley Wine-Style Ale,United States - Wisconsin,United States ,11/5/08
Bell's Hopslam Ale,,,Imperial or Double IPA,United States - Michigan,United States ,11/5/08
Ska Steel Toe Stout,,,Sweet Stout or Cream Stout,United States - Colorado,United States ,11/4/08
Ska ESB Special Ale,,,Classic English-Style Pale Ale,United States - Colorado,United States ,11/4/08
Ska True Blonde Ale,,,English-Style Summer Ale,United States - Colorado,United States ,11/4/08
Ska Pin Stripe Red Ale,,,American-Style Amber/Red Ale,United States - Colorado,United States ,11/4/08
Ska Buster Nut Brown Ale,,,English-Style Brown Ale,United States - Colorado,United States ,11/4/08
Ska Ten Pin Porter (discontinued),,,Robust Porter,United States - Colorado,United States ,11/4/08
Ska Nefarious Ten Pin Imperial Porter,,,Baltic-Style Porter,United States - Colorado,United States ,11/4/08
Anheuser-Busch (St. Louis) Budweiser American Ale,,,American-Style Amber/Red Ale,United States - Missouri,United States ,10/18/08
Ska True Blonde Dubbel,,,Belgian-Style Pale Strong Ale,United States - Colorado,United States ,11/1/08
Ska Decadent Imperial IPA,,,Imperial or Double IPA,United States - Colorado,United States ,11/1/08
Southampton India Pale Ale,,,English-Style IPA,United States - New York,United States ,11/1/08
Italiano Cassissona,,,Garden (Fruit Wheat) Beer,Italy - Lombardy,Italy ,10/30/08
Rogue Old Crustacean Barleywine 2008,,,Barley Wine-Style Ale,United States - Oregon,United States ,10/28/08
Alaskan Stout,,,Oatmeal Stout,United States - Alaska,United States ,10/28/08
Harvey A. LeCoq Imperial Extra Double Stout 2003,,,Imperial Stout,United Kingdom - East Sussex,United Kingdom ,10/28/08
Victory Storm King Imperial Stout,,,Imperial Stout,United States - Pennsylvania,United States ,10/28/08
Victory Golden Monkey Tripel,,,Belgian-Style Tripel,United States - Pennsylvania,United States ,10/28/08
Allagash Tripel Ale,,,Belgian-Style Tripel,United States - Maine,United States ,10/28/08
Erie Presque Isle Pilsner,,,American-Style Pilsener,United States - Pennsylvania,United States ,10/27/08
Pietra Ambrée / Chestnut Beer,,,Specialty Beer,France - Corse,France ,10/27/08
Coopers Coopers Original Pale Ale,,,(Special) Best Bitter,Australia - South Australia,Australia ,10/27/08
Sudbrack Eisenbahn Lust,,,Belgian-Style Tripel,Brazil - Santa Catarina,Brazil ,10/26/08
Mikkeller Draft Bear,,,Other Strong Beer,Denmark,Denmark,10/26/08
Fantôme Brise-BonBons,,,Belgian-Style Pale Strong Ale,Belgium - Luxembourg,Belgium ,10/25/08
Boulevard Saison-Brett,,,French & Belgian-Style Saison,United States - Missouri,United States ,10/25/08
Ommegang Ommegeddon,,,French & Belgian-Style Saison,United States - New York,United States ,10/25/08
Rogue Brewer's Ale 2008 / Brew Dawg,,,Barley Wine-Style Ale,United States - Oregon,United States ,10/25/08
Witnica BOSS Kożlak,,,Traditional German-Style Bock,Poland,Poland,10/24/08
Baird Angry Boy Brown Ale,,,American-Style Brown Ale,Japan - Shizuoka-ken,Japan ,10/24/08
Golden Valley Red Thistle Ale,,,American-Style Amber/Red Ale,United States - Oregon,United States ,10/24/08
Erie Sunshine Wit,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Pennsylvania,United States ,10/24/08
Speakeasy White Lightning,,,Light American Wheat Beer with Yeast,United States - California,United States ,10/24/08
Baron Über-Weisse,,,South German-Style Weizenbock/Weissbock,United States - Washington,United States ,10/23/08
Baron Rauchbier,,,Bamberg-Style Rauchbier,United States - Washington,United States ,10/23/08
Saint Somewhere Lectio Divina,,,Belgian-Style Dark Strong Ale,United States - Florida,United States ,10/23/08
Stone Vertical Epic 08.08.08,,,Belgian-Style Tripel,United States - California,United States ,10/22/08
Dick's Imperial Stout,,,Imperial Stout,United States - Washington,United States ,10/22/08
Dick's Belgian Tripel,,,Belgian-Style Tripel,United States - Washington,United States ,10/22/08
Erie Misery Bay IPA,,,American-Style IPA,United States - Pennsylvania,United States ,10/22/08
Breckenridge Autumn Ale,,,English-Style Brown Ale,United States - Colorado,United States ,10/22/08
Rogue White Crane,,,American-Style Pale Ale,United States - Oregon,United States ,10/22/08
Baird Rising Sun Pale Ale,,,American-Style Pale Ale,Japan - Shizuoka-ken,Japan ,10/21/08
Grand Teton Sweetgrass IPA,,,American-Style Pale Ale,United States - Idaho,United States ,10/21/08
