Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
Youngs Oatmeal Stout,,,Oatmeal Stout,United Kingdom - London,United Kingdom ,6/7/01
Dillon Dam Dam Straight Lager,,,Vienna-Style Lager,United States - Colorado,United States ,6/6/01
Tabernash Weiss,,,South German-Style Hefeweizen/Hefeweissbier,United States - Colorado,United States ,3/20/01
Hawks D.M.'s Imperial Stout,,,Imperial Stout,United States - Oregon,United States ,3/20/01
Samuel Smith Imperial Stout,,,Imperial Stout,United Kingdom - North Yorkshire,United Kingdom ,3/20/01
Sierra Nevada Bigfoot 2001,,,Barley Wine-Style Ale,United States - California,United States ,3/20/01
Theakston Old Peculier,,,Old Ale,United Kingdom - North Yorkshire,United Kingdom ,3/20/01
Budvar Budweiser Budvar Czech Imported Lager / Czechvar / Budvar světlý ležák,,,Bohemian-Style Pilsener,Czech Republic,Czech Republic,5/29/01
Strubbe Ichtegems Oud Bruin,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - West-Vlaanderen,Belgium ,4/10/01
Rodenbach Alexander,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - West-Vlaanderen,Belgium ,4/10/01
Rodenbach Rodenbach,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - West-Vlaanderen,Belgium ,4/10/01
Liefmans Goudenband 1999,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - Oost-Vlaanderen,Belgium ,4/10/01
De Troch Chapeau Framboise Lambic,,,Belgian-Style Fruit Lambic,Belgium - Vlaams Brabant,Belgium ,4/10/01
Lindemans Pêche / Pecheresse,,,Belgian-Style Fruit Lambic,Belgium - Vlaams Brabant,Belgium ,4/10/01
Boon Mariage Parfait 1995,,,Belgian-Style Fruit Lambic,Belgium - Vlaams Brabant,Belgium ,4/10/01
Lindemans Framboise,,,Belgian-Style Fruit Lambic,Belgium - Vlaams Brabant,Belgium ,4/10/01
Lindemans Geuze,,,Belgian-Style Gueuze Lambic,Belgium - Vlaams Brabant,Belgium ,4/10/01
Legendes Quintine Ambrée/Amber,,,Belgian-Style Dark Strong Ale,Belgium - Hainaut,Belgium ,4/10/01
Legendes La Quintine Blonde,,,Belgian-Style Pale Strong Ale,Belgium - Hainaut,Belgium ,4/10/01
Hinterland Mild Cask Ale,,,English-Style Pale Mild Ale,United States - Wisconsin,United States ,5/18/01
Hinterland Weizen Bier,,,South German-Style Hefeweizen/Hefeweissbier,United States - Wisconsin,United States ,5/18/01
Titletown (Dousman) Colonel Kolsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Wisconsin,United States ,5/18/01
Titletown (Dousman) Steam Engine Common,,,California Common Beer,United States - Wisconsin,United States ,5/18/01
Titletown (Dousman) Discombobulator Maibock,,,German-Style Heller Bock/Maibock,United States - Wisconsin,United States ,5/18/01
Egan Who The Helles Chuck?,,,Münchner-Style Helles,United States - Wisconsin,United States ,4/23/01
Youngs Double Chocolate Stout,,,Sweet Stout or Cream Stout,United Kingdom - London,United Kingdom ,5/6/01
Gale Conquest Ale 2001,,,Old Ale,United Kingdom - Hampshire,United Kingdom ,5/1/01
BridgePort Old Knucklehead 1999,,,Barley Wine-Style Ale,United States - Oregon,United States ,5/1/01
Full Sail Old Boardhead 1999,,,Barley Wine-Style Ale,United States - Oregon,United States ,5/1/01
Rogue Old Crustacean Barleywine 1993,,,Barley Wine-Style Ale,United States - Oregon,United States ,5/1/01
Lake Superior (Duluth) Old Man Winter Warmer 2000,,,Barley Wine-Style Ale,United States - Minnesota,United States ,5/1/01
Anchor Old Foghorn 1996,,,Barley Wine-Style Ale,United States - California,United States ,5/1/01
Wild Duck Imperial Sasquatch,,,Barley Wine-Style Ale,United States - Oregon,United States ,4/19/01
Fish Detonator Doppelbock,,,German-Style Strong Doppelbock,United States - Washington,United States ,4/19/01
Sarah Hughes Dark Ruby Ale,,,English-Style (Extra Special) Strong Bitter,United Kingdom - West Midlands,United Kingdom ,4/29/01
Steenberge Augustijn Ale,,,Belgian-Style Tripel,Belgium - Oost-Vlaanderen,Belgium ,4/17/01
Het Anker Gouden Carolus Grand Cru of the Emperor,,,Belgian-Style Dark Strong Ale,Belgium - Antwerpen,Belgium ,4/17/01
Het Anker Gouden Carolus Tripel,,,Belgian-Style Tripel,Belgium - Antwerpen,Belgium ,4/17/01
Hair of the Dog Adam,,,Old Ale,United States - Oregon,United States ,4/11/01
Dupont Moinette Blonde,,,French & Belgian-Style Saison,Belgium - Hainaut,Belgium ,4/2/01
Duvel Duvel,,,Belgian-Style Pale Strong Ale,Belgium - Antwerpen,Belgium ,4/2/01
Aass Juleøl,,,German-Style Strong Doppelbock,Norway,Norway,3/31/01
Schmucker Schmucker Schwarzbier,,,German-Style Schwarzbier,Germany - Hessen,Germany ,3/31/01
Panther Ziggy Socky Premium Lager Beer,,,American-Style Lager,United States - New York,United States ,3/31/01
Slab City William Capen Bitter Ale,,,(Special) Best Bitter,United States - Wisconsin,United States ,3/30/01
Tucher Tucher Helles Hefe Weizen,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,3/27/01
Paulaner Hacker-Pschorr Hefe Weisse,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,3/27/01
Schneider TAP4 Mein Grünes / Wiesen Edel Weisse,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,3/27/01
Spaten Franziskaner Premium Weissbier Naturtrüb / Franziskaner Hefe-Weissbier Hell / Franziskaner Club-Weiss,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,3/27/01
Würzburger Julius Echter Weißbier Hell (formerly Julius Echter Hefe-Weißbier Hell),,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,3/27/01
Legendes Hercule Stout,,,Imperial Stout,Belgium - Hainaut,Belgium ,3/25/01
Corsendonk Monk Pale Ale / Agnus Dei,,,Belgian-Style Pale Strong Ale,Belgium - Antwerpen,Belgium ,3/25/01
Salopian Entire Butt English Porter,,,Robust Porter,United Kingdom - Shropshire,United Kingdom ,3/18/01
Bosteels Tripel Karmeliet,,,Belgian-Style Tripel,Belgium - Oost-Vlaanderen,Belgium ,3/16/01
Liefmans Gluhkriek,,,Herb and Spice Beer,Belgium - Oost-Vlaanderen,Belgium ,3/16/01
Harvey Elizabethan Ale,,,Barley Wine-Style Ale,United Kingdom - East Sussex,United Kingdom ,3/16/01
Westmalle Westmalle Trappist Dubbel,,,Belgian-Style Dubbel,Belgium - Antwerpen,Belgium ,3/16/01
Carlton and United (Sydney) Sheaf Stout,,,Sweet Stout or Cream Stout,Australia - New South Wales,Australia ,3/13/01
Pripps D. Carnegie & Co. Stark-Porter,,,Imperial Stout,Sweden,Sweden,3/13/01
Belize Belikin Stout,,,Foreign (Export)-Style Stout,Belize,Belize,3/13/01
Nikšicko Nikšićko Pivo,,,Bohemian-Style Pilsener,Montenegro,Montenegro,3/11/01
DAB Traditional,,,German-Style Brown Ale/Düsseldorf-Style Altbier,Germany - Nordrhein-Westfalen,Germany ,3/11/01
Hurbanovo Zlatý Bažant / Golden Pheasant,,,Bohemian-Style Pilsener,Slovakia,Slovakia,3/11/01
Bass Caffrey's Irish Ale,,,(Special) Best Bitter,United Kingdom - Staffordshire,United Kingdom ,3/11/01
Great Divide Hibernation Ale 2000,,,Old Ale,United States - Colorado,United States ,3/10/01
Grumpy Troll Grumpy Two,,,Imperial Stout,United States - Wisconsin,United States ,3/7/01
Grumpy Troll Rye Bock,,,Traditional German-Style Bock,United States - Wisconsin,United States ,3/7/01
Grumpy Troll Liberty Pale Ale,,,American-Style Pale Ale,United States - Wisconsin,United States ,3/7/01
Grumpy Troll How Now,,,English-Style Brown Ale,United States - Wisconsin,United States ,3/7/01
Grumpy Troll Lager,,,American-Style Lager,United States - Wisconsin,United States ,3/7/01
Grumpy Troll Trailside Wheat,,,South German-Style Hefeweizen/Hefeweissbier,United States - Wisconsin,United States ,3/7/01
Scottish & Newcastle McEwan's Scottish Ale,,,Scottish-Style Heavy Ale,United Kingdom - Tyne and Wear,United Kingdom ,2/27/01
Maclay Scotch Ale,,,Scottish-Style Heavy Ale,United Kingdom - Scotland,United Kingdom ,2/27/01
Belhaven Scottish Ale (bottled),,,Scottish-Style Export Ale,United Kingdom - Scotland,United Kingdom ,2/27/01
Pete's Wicked Ale,,,English-Style Brown Ale,United States - Texas,United States ,2/27/01
Samuel Smith Samuel Smith's Nut Brown Ale,,,English-Style Brown Ale,United Kingdom - North Yorkshire,United Kingdom ,2/27/01
Scottish & Newcastle Newcastle Brown Ale,,,English-Style Brown Ale,United Kingdom - Tyne and Wear,United Kingdom ,2/27/01
Hampshire Pride of Romsey IPA,,,English-Style IPA,United Kingdom - Hampshire,United Kingdom ,2/27/01
Felinfoel Thames Welsh Ale,,,English-Style (Extra Special) Strong Bitter,United Kingdom - Wales,United Kingdom ,2/27/01
Great Yorkshire Cropton Monkman's Slaughter,,,Strong Ale,United Kingdom - North Yorkshire,United Kingdom ,2/27/01
Youngs Dirty Dick's Ale,,,(Special) Best Bitter,United Kingdom - London,United Kingdom ,2/27/01
Brakspear Coniston Bluebird Bitter,,,(Special) Best Bitter,United Kingdom - Oxford,United Kingdom ,2/27/01
Dirt Cheap Beer,,,American-Style Lager,United States - Missouri,United States ,2/26/01
Orkney Red MacGregor,,,Scottish-Style Export Ale,United Kingdom - Scotland,United Kingdom ,2/16/01
Holsten Duckstein Original,,,German-Style Brown Ale/Düsseldorf-Style Altbier,Germany - Hamburg,Germany ,2/11/01
Goose Island Christmas Ale,,,American-Style Brown Ale,United States - Illinois,United States ,2/11/01
Redhook (Seattle) Winterhook Robust Winter Ale 2000,,,Herb and Spice Beer,United States - Washington,United States ,2/11/01
Tröegs Oatmeal Stout (discontinued),,,Oatmeal Stout,United States - Pennsylvania,United States ,2/10/01
Tröegs Nut Brown Ale,,,English-Style Brown Ale,United States - Pennsylvania,United States ,2/10/01
Tröegs ESB,,,English-Style (Extra Special) Strong Bitter,United States - Pennsylvania,United States ,2/10/01
Egan Toil and Trubbel Dubbel,,,Belgian-Style Dubbel,United States - Wisconsin,United States ,1/23/01
Egan Enkel Biter,,,Other Belgian-Style Ale,United States - Wisconsin,United States ,1/23/01
Harvey A. LeCoq Imperial Extra Double Stout 1999,,,Imperial Stout,United Kingdom - East Sussex,United Kingdom ,1/21/01
Lefebvre Blanche de Bruxelles,,,Belgian Style White (or Wit) / Belgian-Style Wheat,Belgium - Brabant Wallon,Belgium ,1/21/01
Pinkus Müller Organic Ur Pils,,,German-Style Pilsener,Germany - Nordrhein-Westfalen,Germany ,1/21/01
Egan Eganator Doppelbock,,,German-Style Strong Doppelbock,United States - Wisconsin,United States ,1/10/01
Egan Massart's Glory Belgian Strong Ale 2000,,,Belgian-Style Pale Strong Ale,United States - Wisconsin,United States ,1/9/01
Egan old gak strong ale,,,Old Ale,United States - Wisconsin,United States ,1/9/01
Egan Cow Palace Scotch Ale 2000,,,Traditional Strong Scotch Ale,United States - Wisconsin,United States ,1/9/01
Egan 'Bpósfaidh Scotch Ale 1999,,,Traditional Strong Scotch Ale,United States - Wisconsin,United States ,1/9/01
Lindemans Cuvée René Grand Cru Gueuze Lambic,,,Belgian-Style Gueuze Lambic,Belgium - Vlaams Brabant,Belgium ,1/3/01
Ommegang Rare Vos,,,Belgian- and French-Style Ale,United States - New York,United States ,12/17/00
Hawks Super Natural IPA,,,American-Style IPA,United States - Oregon,United States ,12/14/00
Sierra Nevada Bigfoot 1994,,,Barley Wine-Style Ale,United States - California,United States ,12/2/00
Anchor Our Special Ale 1995,,,Herb and Spice Beer,United States - California,United States ,12/2/00
Anchor Our Special Ale 1994,,,Herb and Spice Beer,United States - California,United States ,12/2/00
Boston Beer Company Samuel Adams Triplebock 1994,,,Specialty Beer,United States - Massachusetts,United States ,12/2/00
Eldridge Pope Thomas Hardy's Ale 1993,,,Old Ale,United Kingdom - Dorset,United Kingdom ,12/2/00
Eldridge Pope Thomas Hardy's Ale 1994,,,Old Ale,United Kingdom - Dorset,United Kingdom ,12/2/00
Rogue Old Crustacean Barleywine 1993,,,Barley Wine-Style Ale,United States - Oregon,United States ,12/2/00
Moorhouse Pendle Witches Brew,,,Classic English-Style Pale Ale,United Kingdom - Lancashire,United Kingdom ,11/30/00
Halve Maan Straffe Hendrik Bruin,,,Belgian-Style Dark Strong Ale,Belgium - West-Vlaanderen,Belgium ,11/30/00
Cantillon Iris 1996,,,Belgian-Style Lambic,Belgium - Brussel,Belgium ,11/20/00
Bear Republic XP Pale Ale,,,American-Style Pale Ale,United States - California,United States ,11/13/00
Van Honsebrouck Kasteel 11° Donker / Bruin 11%,,,Belgian-Style Dark Strong Ale,Belgium - West-Vlaanderen,Belgium ,11/13/00
Unibroue La Fin Du Monde,,,Belgian-Style Tripel,Canada - Québec,Canada ,11/12/00
Rothaus Hefeweissbier,,,South German-Style Hefeweizen/Hefeweissbier,United States - Wisconsin,United States ,11/4/00
Rothaus Dunkles,,,European-Style Dark/Münchner Dunkel,United States - Wisconsin,United States ,11/4/00
Rothaus Pilsner,,,Bohemian-Style Pilsener,United States - Wisconsin,United States ,11/4/00
Rothaus Export,,,German-Style Pilsener,United States - Wisconsin,United States ,11/4/00
Rothaus Helles,,,Münchner-Style Helles,United States - Wisconsin,United States ,11/4/00
Rothaus Leicht,,,Münchner-Style Helles,United States - Wisconsin,United States ,11/4/00
Denmark Valhalla Ale,,,Vienna-Style Lager,United States - Wisconsin,United States ,10/27/00
Denmark Continental Pilsner,,,German-Style Pilsener,United States - Wisconsin,United States ,10/27/00
Empyrean Collapsar Oatmeal Stout,,,Oatmeal Stout,United States - Nebraska,United States ,9/19/99
Empyrean Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - Nebraska,United States ,9/19/99
Halve Maan Straffe Hendrik Brugse,,,Belgian-Style Pale Strong Ale,Belgium - West-Vlaanderen,Belgium ,10/19/00
Smoky Mountain (Knoxville) Black Bear Ale,,,English-Style Brown Ale,United States - Tennessee,United States ,10/7/00
Thomas Creek Barley's Irma IPA,,,American-Style IPA,United States - South Carolina,United States ,10/7/00
Tampa Bay Old Elephant Foot IPA,,,American-Style IPA,United States - Florida,United States ,10/7/00
Calhoun's Cherokee Red Ale,,,American-Style Amber/Red Ale,United States - Tennessee,United States ,10/7/00
Rocky River (Sevierville) Golden Eagle Helles,,,Münchner-Style Helles,United States - Tennessee,United States ,10/7/00
Live Oak Big Bark Amber Lager,,,Vienna-Style Lager,United States - Texas,United States ,10/7/00
Coaches IPA,,,American-Style IPA,United States - Oklahoma,United States ,10/7/00
Charlie and Jake's Anniversary Ale,,,American-Style Pale Ale,United States - Florida,United States ,10/7/00
Choc American Lager,,,American-Style Lager,United States - Oklahoma,United States ,10/7/00
Stoney Creek Double Chocolate Porter,,,Robust Porter,United States - Michigan,United States ,10/7/00
Springfield Mueller Doppelbock,,,German-Style Strong Doppelbock,United States - Missouri,United States ,10/7/00
Rocky River (Pigeon Forge) Bombardier Brown,,,English-Style Brown Ale,United States - Tennessee,United States ,10/7/00
Michigan High Seas IPA,,,American-Style IPA,United States - Michigan,United States ,10/7/00
McCoy's Deluxe Cream Stout,,,Sweet Stout or Cream Stout,United States - Missouri,United States ,10/7/00
Harmon Point Defiance IPA,,,American-Style IPA,United States - Washington,United States ,10/7/00
Snipes Mountain Extra Special Bitter,,,English-Style (Extra Special) Strong Bitter,United States - Washington,United States ,10/7/00
Mia and Pia's Kalamath Basin IPA,,,American-Style IPA,United States - Oregon,United States ,10/7/00
Big House Penitentiary Porter,,,Robust Porter,United States - Washington,United States ,10/7/00
Oregon Trader Russian Imperial Stout,,,Imperial Stout,United States - Oregon,United States ,10/7/00
Pelican India Pelican Ale,,,American-Style IPA,United States - Oregon,United States ,10/7/00
Watson Brothers Y2KIPA,,,American-Style IPA,United States - Ohio,United States ,10/7/00
Russian River Damnation,,,Belgian-Style Pale Strong Ale,United States - California,United States ,10/7/00
Santa Barbara Pacific Pale,,,American-Style Pale Ale,United States - California,United States ,10/7/00
Six Rivers Fat Bastard Barleywine (discontinued),,,Barley Wine-Style Ale,United States - California,United States ,10/7/00
Saint Arnold Fancy Lawnmower Beer,,,German-Style Kölsch/Köln-Style Kölsch,United States - Texas,United States ,10/7/00
Amerisports Hofbrauhaus Brewery & Biergarten Vienna Velvet,,,Vienna-Style Lager,United States - Missouri,United States ,10/7/00
Tenaya Creek India Pale Ale,,,American-Style IPA,United States - Nevada,United States ,10/7/00
Third Street Old Redwood Porter,,,Robust Porter,United States - California,United States ,10/7/00
Thunder Canyon Thunderhead IPA,,,American-Style IPA,United States - Arizona,United States ,10/7/00
Western Reserve Cloud Nine Witbier,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Ohio,United States ,10/7/00
Boundary Bay Doppel Bock,,,German-Style Strong Doppelbock,United States - Washington,United States ,10/7/00
Elliott Bay (West Seattle) Alembic Pale,,,American-Style Pale Ale,United States - Washington,United States ,10/7/00
Elysian Cyclops Barleywine,,,Barley Wine-Style Ale,United States - Washington,United States ,10/7/00
Miller (Tumwater) Henry Weinhard's Ale,,,American Lager/Ale or Cream Ale,United States - Washington,United States ,10/7/00
Craftsman Heavenly Hefe,,,South German-Style Hefeweizen/Hefeweissbier,United States - California,United States ,10/7/00
Eel River Climax California Classic,,,California Common Beer,United States - California,United States ,10/7/00
English Ales Ironside Best,,,(Special) Best Bitter,United States - California,United States ,10/7/00
Four Peaks 8th Street Ale,,,Ordinary Bitter,United States - Arizona,United States ,10/7/00
Jurupa Valley Double Chocolate Stout,,,Sweet Stout or Cream Stout,United States - California,United States ,10/7/00
Triple 7 Black Chip Porter,,,Robust Porter,United States - Nevada,United States ,10/7/00
Lamppost Pizza (Corona) Hop Daddy IPA,,,English-Style IPA,United States - California,United States ,10/7/00
Monte Carlo Jackpot Pale,,,American-Style Pale Ale,United States - Nevada,United States ,10/7/00
Stuft Pizza (Del Mar) Stuft Pizza Torrey Pines IPA,,,American-Style IPA,United States - California,United States ,10/7/00
PH Woods Hard Woods Pale,,,American-Style Pale Ale,United States - California,United States ,10/7/00
Pizza Port (Solana Beach) Mother of All Beers,,,Other Belgian-Style Ale,United States - California,United States ,10/7/00
Pizza Port (Solana Beach) Cuvee de Tomme,,,Other Belgian-Style Ale,United States - California,United States ,10/7/00
AleSmith Stumblin' Monk Tripel,,,Belgian-Style Tripel,United States - California,United States ,10/7/00
Coastal Fog Pale,,,American-Style Pale Ale,United States - California,United States ,10/7/00
Coastal Fog Hefeweizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - California,United States ,10/7/00
Coastal Fog Brandenburg Gate Märzen,,,German-Style Märzen/Oktoberfest,United States - California,United States ,10/7/00
Ballast Point (Home Brew Mart) Big Eye IPA,,,American-Style IPA,United States - California,United States ,10/7/00
Chicago (Las Vegas) Stout,,,Classic Irish-Style Dry Stout,United States - Nevada,United States ,10/7/00
Boiler Room Colorado Belle Dark,,,European-Style Dark/Münchner Dunkel,United States - Nevada,United States ,10/7/00
Beermann's Lincolnshire Mild,,,English-Style Pale Mild Ale,United States - California,United States ,10/7/00
Pizza Port (Carlsbad) Bombshell Barleywine,,,Barley Wine-Style Ale,United States - California,United States ,10/7/00
Bulldog Aztec Amaranth Ale,,,Experimental Beer,United States - California,United States ,10/7/00
Crested Butte Red Lady Ale,,,Ordinary Bitter,United States - Colorado,United States ,10/7/00
Steamworks Steam Engine Steam,,,California Common Beer,United States - Colorado,United States ,10/6/00
Socorro Springs Pick Axe IPA,,,American-Style IPA,United States - New Mexico,United States ,10/6/00
Rivers Porter,,,Brown Porter,United States - Utah,United States ,10/6/00
Colorado Angry Monk,,,Belgian-Style Dubbel,United States - Colorado,United States ,10/6/00
Pumphouse (Longmont) Red Alert Ale,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Park City Steamer,,,California Common Beer,United States - Utah,United States ,10/6/00
Oskar Blues Dale's Pale Ale,,,American-Style Pale Ale,United States - Colorado,United States ,10/6/00
Dillon Dam Extra Special Bitter,,,English-Style (Extra Special) Strong Bitter,United States - Colorado,United States ,10/6/00
Dostal Alley Powder Keg Raspberry Porter,,,Garden (Fruit) Beer,United States - Colorado,United States ,10/6/00
Dry Gulch Where The Helles Albuquerque,,,Münchner-Style Helles,United States - New Mexico,United States ,10/6/00
Gore Range Fly Fisher Red,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Great Northern (Keystone) Empire Builder Stout,,,Classic Irish-Style Dry Stout,United States - Colorado,United States ,10/6/00
HC Berger Chocolate Stout,,,Sweet Stout or Cream Stout,United States - Colorado,United States ,10/6/00
Hoppers (Midvale) Uno Mas,,,American-Style Lager,United States - Utah,United States ,10/6/00
Jarre Creek Ranch Amber Ale,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Moab Dead Horse Ale,,,American-Style Amber/Red Ale,United States - Utah,United States ,10/6/00
Mountain Sun Chazz Cat Rye,,,American-Style Rye Beer,United States - Colorado,United States ,10/6/00
Bristol Winter Warlock Oatmeal Stout,,,Foreign (Export)-Style Stout,United States - Colorado,United States ,10/6/00
Blue Corn (Albuquerque) Plaza Porter,,,Robust Porter,United States - New Mexico,United States ,10/6/00
BJ's (Jantzen Beach) Whiskey Stout,,,Sweet Stout or Cream Stout,United States - Oregon,United States ,10/6/00
Blicks Blind Side Pale Ale,,,American-Style Pale Ale,United States - Colorado,United States ,10/6/00
Mill Steakhouse 5280 Roadhouse Ghost Town Brown,,,English-Style Brown Ale,United States - Colorado,United States ,10/6/00
Iron Hill (Newark) Pig Iron Porter,,,Robust Porter,United States - Delaware,United States ,10/6/00
JJ Bitting Bad Boy Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - New Jersey,United States ,10/6/00
New River Pale Ale,,,American-Style Pale Ale,United States - Georgia,United States ,10/6/00
Castle Springs Lucknow India Pale Ale,,,American-Style IPA,United States - New Hampshire,United States ,10/6/00
Southampton Double Ice Bock,,,German-Style Eisbock,United States - New York,United States ,10/6/00
Sweetwater (Centreville) High Desert Imperial Stout,,,Imperial Stout,United States - Virginia,United States ,10/6/00
Fordham Blue Point Oyster Stout,,,Specialty Beer,United States - Maryland,United States ,10/6/00
Flossmoor Station Old 420 Wheat Wine,,,Specialty Beer,United States - Illinois,United States ,10/6/00
Lightning Boy Thunder Pup Pale,,,American-Style Pale Ale,United States - Montana,United States ,10/6/00
Main Street (Cortez) Mesa Cerveza Schnorzenboomer,,,German-Style Strong Doppelbock,United States - Colorado,United States ,10/6/00
Willoughby Wenceslas,,,Robust Porter,United States - Ohio,United States ,10/6/00
Dixon's Solitaire Stout,,,Classic Irish-Style Dry Stout,United States - Colorado,United States ,10/6/00
Dixon's Uncle Dunkel,,,South German-Style Dunkel Weizen/Weissbier,United States - Colorado,United States ,10/6/00
Dixon's Angel Amber,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Dixon's Platte Valley Pale Ale,,,American-Style Pale Ale,United States - Colorado,United States ,10/6/00
Dixon's Wazee Wheat,,,Light American Wheat Beer with Yeast,United States - Colorado,United States ,10/6/00
Pint's Gael Force Scottish Export,,,Scottish-Style Export Ale,United States - Colorado,United States ,10/6/00
Pint's Dark Star ESB,,,English-Style (Extra Special) Strong Bitter,United States - Colorado,United States ,10/6/00
Pint's Lancer IPA,,,English-Style IPA,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Rainbow Trout Stout,,,Classic Irish-Style Dry Stout,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Porcupine Porter,,,Robust Porter,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Derailer ESB,,,English-Style (Extra Special) Strong Bitter,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Dog's Breath Brown Ale,,,English-Style Brown Ale,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Daze Scottish Ale,,,Scottish-Style Export Ale,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Backpacker IPA,,,American-Style IPA,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Amber Daze,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) Heavenly Hefeweizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Colorado,United States ,10/6/00
Heavenly Daze (Denver) El Rey Cerveza,,,American-Style Lager,United States - Colorado,United States ,10/6/00
Hops (Cherry Creek) Hoptoberfest,,,German-Style Märzen/Oktoberfest,United States - Colorado,United States ,10/6/00
Hops (Cherry Creek) Thoroughbred Red,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Hops (Cherry Creek) Alligator Ale,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Hops (Cherry Creek) Lightning Bold Gold,,,American-Style Lager,United States - Colorado,United States ,10/6/00
Hops (Cherry Creek) Clearwater Light,,,American-Style Lager,United States - Colorado,United States ,10/6/00
Bull & Bush Barleywine,,,Barley Wine-Style Ale,United States - Colorado,United States ,10/6/00
Bull & Bush Yuel Fuel,,,Barley Wine-Style Ale,United States - Colorado,United States ,10/6/00
Bull & Bush Stonehenge Stout,,,Classic Irish-Style Dry Stout,United States - Colorado,United States ,10/6/00
Bull & Bush Big Ben Brown,,,English-Style Brown Ale,United States - Colorado,United States ,10/6/00
Bull & Bush Fall Fest,,,German-Style Märzen/Oktoberfest,United States - Colorado,United States ,10/6/00
Bull & Bush Royal Arms IPA,,,American-Style IPA,United States - Colorado,United States ,10/6/00
Bull & Bush The Tower ESB,,,English-Style (Extra Special) Strong Bitter,United States - Colorado,United States ,10/6/00
Bull & Bush Portsmouth Pale,,,American-Style Pale Ale,United States - Colorado,United States ,10/6/00
Bull & Bush Hail Brau Hefeweizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Colorado,United States ,10/6/00
Bull & Bush Allgood Amber Ale,,,American-Style Amber/Red Ale,United States - Colorado,United States ,10/6/00
Bull & Bush Cream,,,American Lager/Ale or Cream Ale,United States - Colorado,United States ,10/6/00
Bull & Bush Kölsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Colorado,United States ,10/6/00
Main Street (Richmond) Stubborn Mule Barleywine,,,Barley Wine-Style Ale,United States - Virginia,United States ,10/5/00
Martha's Vineyard Extra Stout,,,Foreign (Export)-Style Stout,United States - Massachusetts,United States ,10/5/00
Nodding Head Robust Porter,,,Robust Porter,United States - Pennsylvania,United States ,10/5/00
New Road Peckiomen Pils,,,American-Style Lager,United States - Pennsylvania,United States ,10/5/00
Watch City Hops Explosion IPA,,,American-Style IPA,United States - Massachusetts,United States ,10/5/00
Southampton English Pale Ale,,,English-Style (Extra Special) Strong Bitter,United States - New York,United States ,10/5/00
Fordham Copperhead Ale,,,American-Style Amber/Red Ale,United States - Maryland,United States ,10/5/00
Deep Creek Big Bear Stout,,,Classic Irish-Style Dry Stout,United States - Maryland,United States ,10/5/00
Capitol City (Arlington) Prohibition Porter,,,Robust Porter,United States - Virginia,United States ,10/5/00
John Harvard's (Cambridge) Framingham Maibock,,,German-Style Heller Bock/Maibock,United States - Massachusetts,United States ,10/5/00
John Harvard's (Framingham) Wilmington Roggen Beer,,,American-Style Rye Beer,United States - Massachusetts,United States ,10/5/00
Tröegs Bavarian Lager,,,Münchner-Style Helles,United States - Pennsylvania,United States ,10/5/00
Dragonmead Excalibur Barleywine,,,Barley Wine-Style Ale,United States - Michigan,United States ,10/5/00
Egan Queen of Clubs Schwarzbier,,,German-Style Schwarzbier,United States - Wisconsin,United States ,10/5/00
Egan Wilsteraner Altbier,,,German-Style Brown Ale/Düsseldorf-Style Altbier,United States - Wisconsin,United States ,10/5/00
Minhas Huber Berghoff Genuine Dark,,,American-Style Dark Lager,United States - Wisconsin,United States ,10/5/00
